normalize_supplier_name,invoice_description,CategoryLevel1,CategoryLevel2,CategoryLevel3,CategoryLevel4,Cluster
PLUS ONE INTERIOR DESIGN WORKS,Food Court Furniture Refurbishment for Chinatown (iMemo-544334),,,,,326
NOOR ALFARIS TECHNICAL SERVICES EST.,DHER Nursery- External Paint - Geant supermarket,,,,,334
NOOR ALFARIS TECHNICAL SERVICES EST.,DHM -  Pots Painting Work,,,,,334
NOOR ALFARIS TECHNICAL SERVICES EST.,DHM - Fan coil Unit supply & apply access panel for maintenance.,,,,,334
NOOR ALFARIS TECHNICAL SERVICES EST.,Loading Bays and Back-of-House (BOH) Enhancements,,,,,334
INNOVATIVE CONSUMER CONCEPTS FZE,EGC - 40% Breakage share of Emaar Gift Card Program Manager as per contract for the period Oct to Nov 2024,,,,,403
INNOVATIVE CONSUMER CONCEPTS FZE,"EGC - Emaar Gift Card Monthly Ongoing Program Management fees for the month of Nov-Dec-2024, 62030242",,,,,403
WML INTERNATIONAL ELECTRONICS TRADING,Adjustable Standing Desk and Office Chair,,,,,9
WML INTERNATIONAL ELECTRONICS TRADING,Capex 2024 ASV Spa and Recreation,,,,,9
WML INTERNATIONAL ELECTRONICS TRADING,Capex 2024- Coffe and site tables,,,,,9
WML INTERNATIONAL ELECTRONICS TRADING,Protection Covers for Outdoor Furniture,,,,,9
WML INTERNATIONAL ELECTRONICS TRADING,Sustainability Message - Wooden Cards in Russian language,,,,,9
ALTAMYZ ADVERTISING,DMM - MS issue for parking sign and posters for taxi and smoking area,,,,,25
ALTAMYZ ADVERTISING,DMM - MS: Parking Entrance signage rectification,,,,,25
ALTAMYZ ADVERTISING,DMW signages rectifications and updates,,,,,25
ALTAMYZ ADVERTISING,Marketing - Dubai Mall -  Art Gallery Canvas printing | THE EMAAR EYE | Photography Competition,,,,,25
ALTAMYZ ADVERTISING,MS - DMM Removal of existing stand and installation of new signage - Signage Rectification MS Near Nike store Black signage covering with black signage sticker,,,,,25
ALTAMYZ ADVERTISING,TDM - OPERATIONS - NYE 2025 - INDOOR SIGNAGES,,,,,25
V-TECH MARINE SERVICES,Dubai Aquarium - LGM Pumps Vibration Analysis,,,,,179
V-TECH MARINE SERVICES,Dubai Aquarium - Pneumatic Pressure Monitoring System and Emergency Under Water Valve control panel,,,,,179
V-TECH MARINE SERVICES,Dubai Aquarium - Temperature Control Monitoring System,,,,,179
NINTEX UK LIMITED,"Additional DDPs (50,000 Qty)- Nintex DocGen (As per iMemo - 555183)",,,,,273
ARCH ACRYLIC NOVELTIES TRADING LLC,AA Batterie,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,ADM - STEEL U CHANNEL,,,,,388
ARCH ACRYLIC NOVELTIES TRADING LLC,AMAL- STEAM COOKER,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Amenities trays with cover,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Amenity Tray/ covers,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,ASV- Charges towards fabricating,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,ASV- Charges towards fabricating custom high density styro b,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,ASV- festive decoration 1,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET- ACRYLIC ELEVATION,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET- CHOCOLATE SPRAY GUN,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET- DONUT STAND,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET L152- CANDY JAR,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET- MICROPLANE,,,,,388
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET- STEEL MOULDS,,,,,388
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET- STEEL PPING,,,,,388
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET- WASTE BINS,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,BUFFET REQUIREMENT NYE 2024,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Candy Machine Cover,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Elevations,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Elevations,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,F+B Restaurant Breakfast Menu Stand (Arch Acrylic),,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Fabricating custom acrylic shapes for pastry,,,,,161
ARCH ACRYLIC NOVELTIES TRADING LLC,Fabricating custom styro for pastry,,,,,161
ARCH ACRYLIC NOVELTIES TRADING LLC,GI BANQUET FLIP CHART HOLDER,,,,,119
ARCH ACRYLIC NOVELTIES TRADING LLC,GI BANQUETS DECEMBER,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,GI DEC TAG HOLDER,,,,,119
ARCH ACRYLIC NOVELTIES TRADING LLC,GI LUMA DECEMBER,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,GI NEON SIGNAGE DEC 2024,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,GI OPERA DECEMBER,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,GI TAG HOLDER DEC,,,,,119
ARCH ACRYLIC NOVELTIES TRADING LLC,GI|2024 : ATM HIGH BALL GLASSES | KEYBOARD&MOUSE | CUST BOX,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Glass Jar For Origin Kitchen,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,HASHI- VEGETABLE CUTTER,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,HSK - HP SF - LAUNDRY TRAY,,,,,473
ARCH ACRYLIC NOVELTIES TRADING LLC,HSK - HP SF - LAUNDRY TRAY,,,,,473
ARCH ACRYLIC NOVELTIES TRADING LLC,HSK - HP SF - LEATHER ITEMS,,,,,473
ARCH ACRYLIC NOVELTIES TRADING LLC,HSK - HTL - GST ROOM LEATHER ITEMS,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,MEDITERRANEO- ACRYLIC ELEVATION,,,,,161
ARCH ACRYLIC NOVELTIES TRADING LLC,NATYRAL STONE Bowl,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Non Stick Pan For Origin,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,PCH- Acrylic Sign,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Styrofoam Items for Charismas Branch,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Thiptara Menu holder NYE,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,Tissue Box for FO- ARCH ACRYLIC NOVELTIES TRADING LLC,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,VBH-Cafeteria Cutleries,,,,,186
ARCH ACRYLIC NOVELTIES TRADING LLC,White acrylic with polish and smooth edges for pastry,,,,,161
FARNEK SERVICES,2411 - Toilet seat Cover replacement,,,,,22
FARNEK SERVICES,2912 - Call out Charge for Washing Machine Inspection,,,,,22
FARNEK SERVICES,3404 - Call Out Charges DEC 24,,,,,22
FARNEK SERVICES,3404 - Mold inspection,,,,,22
FARNEK SERVICES,3911 - Call out charges (damaged silicone),,,,,22
FARNEK SERVICES,3911 - HNG600-RM-841481,,,,,22
FARNEK SERVICES,4704 - Call out charges,,,,,22
FARNEK SERVICES,5001 - EHGSP00647-RM-840267,,,,,22
FARNEK SERVICES,5001 - EHGSP00647-RM-842581,,,,,22
FARNEK SERVICES,Additional Female Cleaner for Eid Al Etihad - Dubai Fountain,,,,,22
FARNEK SERVICES,Additional Female Cleaner for New Year 2025- Dubai Fountain,,,,,22
FARNEK SERVICES,AMC 2024 Casual Staff For Hotel DEC 24,,,,,22
FARNEK SERVICES,EPS - Supply and Installation of energy meter for ATT Ice maker Machines at level 123 Kitchen | End User: Genelyn Canson - 04 888 8837,,,,,22
FARNEK SERVICES,Manpower Dec2024 (will be deducting from Owner's HP Revenue,,,,,22
FARNEK SERVICES,NYE25 - BK - Wall Opening and closing for NYE Lighting Works,,,,,22
FARNEK SERVICES,Operator license for the scissor lift,,,,,22
FARNEK SERVICES,Supply and installation of Water flow meter at Burj Park,,,,,22
FARNEK SERVICES,TBC | Maintenance services | January 2025,,,,,22
FARNEK SERVICES,"TMD-AMC -TMD MEP Service for The Montgomerie - Golf Club - 01-Mar24 to 31-Dec 24 at The Montgomerie Golf LLC |end user - Binoji Scariah, bscariah@emaar.ae Contact - 0543058031",,,,,22
FARNEK SERVICES,Various Maintenance Works in Residence 1806,,,,,22
M.H.ENTERPRISES L.L.C,breakfast tea,,,,,315
M.H.ENTERPRISES L.L.C,Chocolate Powder,,,,,315
M.H.ENTERPRISES L.L.C,DMM-Management Office - Supply and delivery of Kitchen Supplies,,,,,315
M.H.ENTERPRISES L.L.C,Emaar Entertainment Security and HSE - Pantry Supplies for Office,,,,,315
M.H.ENTERPRISES L.L.C,Emaar Entertainment Security and HSE Office - Pantry Supplies,,,,,315
M.H.ENTERPRISES L.L.C,ESG Pantry Supplies,,,,,315
M.H.ENTERPRISES L.L.C,F&B item for NYE25,,,,,315
M.H.ENTERPRISES L.L.C,F&B Items for NYE25,,,,,315
M.H.ENTERPRISES L.L.C,F&B Items for NYE25,,,,,315
M.H.ENTERPRISES L.L.C,F&B Items for NYE25,,,,,315
M.H.ENTERPRISES L.L.C,HK-Nespresso Coffee,,,,,116
M.H.ENTERPRISES L.L.C,HK-Nespresso Coffee,,,,,116
M.H.ENTERPRISES L.L.C,HK-Nespresso Coffee,,,,,116
M.H.ENTERPRISES L.L.C,HK-Nespresso Coffee,,,,,116
M.H.ENTERPRISES L.L.C,HK-Nespresso Coffee,,,,,116
M.H.ENTERPRISES L.L.C,HK-Nespresso Coffee,,,,,116
M.H.ENTERPRISES L.L.C,HSK - HTL - NESCAFE,,,,,315
M.H.ENTERPRISES L.L.C,Kitchen Amenities in Vida Residence Downtown,,,,,132
M.H.ENTERPRISES L.L.C,Kitchen Products| M.H ENTERPRISES LLC,,,,,315
M.H.ENTERPRISES L.L.C,Kitchen Supplies in Vida Residence Downtown,,,,,132
M.H.ENTERPRISES L.L.C,Lacnor Mix fruit juice for L148,,,,,315
M.H.ENTERPRISES L.L.C,M.H. Enterprises - June 2024,,,,,315
M.H.ENTERPRISES L.L.C,nescafe redmug sticks,,,,,315
M.H.ENTERPRISES L.L.C,Pantry items for Central Finance Gold and Diamond Park Bldg 3 Level 1 office No 3115,,,,,110
